datafolder: izhikevich_data/ expfolder: exc4_inh1_nodiag_withinp_rand/p4/inpvar5_S5_t5000/seed4/ datafile: v_normed_alltimes.txt seed: 10 train_ratio: 0.6 val_ratio: 0.2 seq_len: 10 loss: mse prednstep: 1 attn_enc_self_loc: full attn_enc_self_glb: none attn_dec_self_loc: none attn_dec_self_glb: none attn_dec_cross_loc: full attn_dec_cross_glb: full usegiven:  useinp:  max_epoch: 200 useavg:  skipvarout:  skipvarin:  device: cuda:0 patience: 10 outdir: ../randsearch/exc4_inh1_nodiag_withinp_rand_corr/p4/inpvar5_S5_t5000/all_seq10_pred1/seed4 outname: sett12 d_model: 100 d_qkv: 8 n_heads: 10 ed_layers: 1 time_emb_dim: 1 dropout_emb: 0.1 dropout_ff: 0.1 batch_size: 16 base_lr: 0.0005 l2_coeff: 0.001 warmup_steps:  decay_factor: 0.5 
epoch    train    test    elapsed_sec
1    0.4871409633566463    0.3230611506908659    4.535197973251343
2    0.232894372254137    0.12588136631344993    3.8467025756835938
3    0.19350141830860623    0.13079839832489454    3.7858798503875732
4    0.15545960225992733    0.1195078267464562    3.803828716278076
5    0.15932272031666742    0.10269007666243447    3.7820138931274414
6    0.1511624784814933    0.09829875460219761    3.7925779819488525
7    0.13869535787001488    0.07912793610658911    3.769287347793579
8    0.14353397583204602    0.09424362337541958    3.773918867111206
9    0.11473486164496058    0.09162980034237816    3.749155044555664
10    0.12501701156771372    0.08746286525967575    3.719773769378662
11    0.1216340906444996    0.08261136145937065    3.710430860519409
12    0.15288212286337974    0.1025944525405528    3.7286975383758545
13    0.10121168882127791    0.06255221659583705    3.7048535346984863
14    0.09514910109814197    0.0947319617465375    3.7096264362335205
15    0.1503641421773604    0.10086476959524647    3.7360899448394775
16    0.09473174899106934    0.07681900659014308    3.693113327026367
17    0.0792406957655672    0.07457251681221856    3.713252305984497
18    0.10963159527570482    0.07669160571244973    3.7401983737945557
19    0.11227604027630554    0.07202183632623582    3.728384256362915
20    0.08569074744388225    0.060407425173454814    3.719799518585205
21    0.09112065255878464    0.056014249249110144    3.75141978263855
22    0.11075453945095577    0.058750902553872456    3.7806396484375
23    0.0855775959789753    0.06630808596927969    3.7838265895843506
24    0.10558220909701453    0.06613777288132244    3.8104655742645264
25    0.08715972792179812    0.06837734485429431    3.7998480796813965
26    0.09871214161080027    0.06881202872665156    3.7572524547576904
27    0.07349908178938287    0.06168158041934172    3.7654170989990234
28    0.1131056881258412    0.059661777187434456    3.782905101776123
29    0.08740370634884115    0.05847118611610125    3.757100820541382
30    0.09027105232789404    0.07717386982034123    3.6958916187286377
31    0.08333620937570693    0.06747832678494946    3.745285749435425
early stopped at epoch 31 
best result at epoch 21 train 0.09112065255878464 val 0.056014249249110144 
