12,2
12,4
13,3
13,8
13,9
14,1
14,5
14,6
14,7
15,10
23,9
29,10
41,10
44,9
51,9
56,10
58,9
66,10
68,9
72,8
73,6
74,10
76,7
79,3
80,9
81,10
82,2
82,5
84,4
94,9
97,1
100,10
101,9
110,9
115,10
116,9
122,9
123,10
130,9
132,10
136,9
141,10
150,9
152,8
154,6
155,10
156,4
157,7
158,9
159,3
160,5
162,10
165,2
165,9
169,10
173,9
177,1
177,10
184,10
186,9
193,9
194,10
203,9
207,10
209,6
211,9
212,4
214,8
214,10
221,9
224,10
233,5
233,10
235,9
237,7
238,3
239,2
240,10
241,1
242,9
248,10
250,9
259,10
262,9
273,10
274,8
276,9
279,10
282,9
284,4
289,10
290,9
291,6
295,9
297,10
302,9
308,10
309,9
313,3
316,9
322,7
322,10
323,5
325,9
329,8
329,10
333,2
334,9
335,10
341,1
341,9
346,10
350,9
355,10
361,9
363,3
366,6
367,10
369,4
375,5
375,10
380,9
389,9
390,10
393,8
395,9
400,7
403,9
403,10
409,9
411,10
415,9
420,10
422,3
422,9
429,9
429,10
431,4
436,10
445,9
445,10
447,1
449,6
454,8
455,2
456,5
457,10
458,9
468,7
468,10
470,9
474,10
477,9
480,10
483,9
486,10
491,9
492,10
498,3
499,10
500,9
508,10
510,4
517,9
520,6
521,10
523,9
524,8
528,9
529,1
531,5
533,10
535,7
538,9
548,2
552,9
553,10
558,9
565,10
566,9
571,9
574,3
577,9
581,6
582,10
584,9
591,8
591,9
592,4
594,10
599,9
605,9
608,10
614,9
619,7
620,1
621,9
623,10
624,2
624,3
627,9
629,5
630,10
640,9
640,10
649,6
650,10
652,4
653,9
657,8
659,10
663,9
672,9
678,10
685,5
686,9
690,10
695,9
703,10
704,7
705,8
707,3
710,9
712,10
713,4
724,1
724,6
724,10
728,9
740,2
740,10
745,9
749,10
761,5
762,9
762,10
766,3
768,9
774,9
774,10
776,8
781,7
781,9
788,9
789,4
790,10
791,1
795,9
800,6
805,9
805,10
814,10
820,3
821,9
823,2
827,9
830,8
831,5
832,10
834,9
841,9
846,10
851,9
858,10
860,9
862,1
862,4
865,10
873,9
878,7
878,10
884,6
885,8
886,9
893,3
894,10
896,9
904,2
907,9
910,10
914,9
920,5
920,10
924,9
931,10
936,9
942,6
942,9
947,10
948,9
951,1
954,9
955,4
955,10
956,8
960,9
965,9
966,7
970,3
970,10
971,9
975,9
981,9
985,10
986,9
993,9
998,10
1000,9
1010,5
1011,2
1011,10
1015,9
1018,8
1020,1
1020,6
1021,4
1023,9
1025,7
1025,10
1029,3
1032,9
1036,10
1042,9
1043,10
1051,9
1053,10
1061,9
1065,8
1070,9
1071,10
1084,6
1084,9
1085,5
1086,10
1090,3
1090,4
1091,2
1093,10
1094,9
1103,9
1112,1
1112,9
1116,10
1121,9
1124,10
1128,8
1130,9
1131,10
1132,7
1139,9
1139,10
1150,9
1151,10
1161,4
1161,6
1161,10
1166,5
1169,10
1171,9
1174,3
1177,9
1185,10
1187,9
1197,9
1197,10
1201,1
1203,9
1209,8
1209,10
1210,9
1212,7
1213,2
1217,9
1218,10
1219,4
1225,9
1229,10
1231,5
1235,3
1238,9
1245,9
1245,10
1247,6
1252,9
1254,10
1262,9
1270,10
1271,9
1279,9
1286,10
1287,1
1289,8
1292,9
1293,10
1299,4
1302,2
1302,9
1305,7
1306,10
1310,3
1311,9
1315,10
1320,6
1321,10
1322,5
1326,8
1330,9
1333,10
1341,10
1342,9
1343,1
1348,10
1352,9
1358,3
1359,10
1365,10
1367,9
1377,10
1382,4
1384,9
1384,10
1386,5
1389,10
1391,6
1391,7
1391,8
1394,10
1395,2
1399,9
1399,10
1406,9
1406,10
1413,9
1416,10
1421,9
1423,3
1423,10
1430,9
1430,10
1437,10
1440,1
1444,4
1446,10
1449,5
1452,9
1456,6
1456,8
1461,10
1462,7
1465,9
1467,10
1475,10
1476,9
1483,10
1489,9
1492,3
1494,10
1502,2
1502,9
1504,10
1507,4
1511,9
1511,10
1519,10
1520,1
1521,8
1522,9
1524,10
1533,10
1534,9
1537,5
1542,3
1544,6
1544,9
1546,7
1547,10
1554,8
1554,10
1557,9
1562,2
1563,10
1566,9
1570,10
1573,9
1579,10
1581,9
1583,4
1591,9
1595,10
1599,1
1603,9
1606,10
1608,5
1612,8
1613,6
1616,9
1622,10
1623,3
1625,4
1626,7
1626,9
1635,10
1641,2
1645,9
1646,10
1656,9
1667,10
1668,9
1677,1
1681,3
1682,9
1683,10
1684,6
1687,5
1691,8
1691,9
1692,7
1695,10
1697,4
1698,9
1705,9
1705,10
1711,9
1713,10
1719,9
1720,10
1725,10
1730,9
1736,10
1741,9
1752,2
1752,9
1755,1
1755,3
1755,10
1759,8
1760,9
1764,5
1764,6
1764,10
1766,4
1769,7
1771,9
1772,10
1781,10
1789,10
1792,9
1800,9
1801,10
1808,9
1811,10
1813,8
1815,9
1817,10
1818,3
1822,9
1824,10
1829,9
1831,10
1833,4
1836,9
1837,10
1841,9
1842,6
1847,7
